class,method,ATFD,ATLD,Error
Optional[com.zaxxer.hikari.hibernate.HikariConfigurationUtil],loadConfiguration,startsWith java.lang.String | setProperty java.util.Properties | substring java.lang.String | length java.lang.String | get java.util.Map | keySet java.util.Map | ,copyProperty com.zaxxer.hikari.hibernate.HikariConfigurationUtil | copyProperty com.zaxxer.hikari.hibernate.HikariConfigurationUtil | copyProperty com.zaxxer.hikari.hibernate.HikariConfigurationUtil | copyProperty com.zaxxer.hikari.hibernate.HikariConfigurationUtil | copyProperty com.zaxxer.hikari.hibernate.HikariConfigurationUtil | copyProperty com.zaxxer.hikari.hibernate.HikariConfigurationUtil | ,
Optional[com.zaxxer.hikari.hibernate.HikariConfigurationUtil],copyProperty,containsKey java.util.Map | setProperty java.util.Properties | get java.util.Map | ,,
Optional[com.zaxxer.hikari.util.ClockSource],currentTime,,currentTime0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],currentTime0,,,
Optional[com.zaxxer.hikari.util.ClockSource],toMillis,,toMillis0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],toMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource],toNanos,,toNanos0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],toNanos0,,,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedMillis,,elapsedMillis0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedMillis,,elapsedMillis0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedNanos,,elapsedNanos0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedNanos0,,,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedNanos,,elapsedNanos0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedNanos0,,,
Optional[com.zaxxer.hikari.util.ClockSource],plusMillis,,plusMillis0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],plusMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource],getSourceTimeUnit,,getSourceTimeUnit0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],getSourceTimeUnit0,,,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedDisplayString,,elapsedDisplayString0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.ClockSource],elapsedDisplayString0,abs java.lang.Math | convert java.util.concurrent.TimeUnit | append java.lang.StringBuilder | ordinal java.lang.Enum | append java.lang.StringBuilder | convert java.util.concurrent.TimeUnit | toString java.lang.StringBuilder | ,elapsedNanos0 com.zaxxer.hikari.util.ClockSource | ,
Optional[com.zaxxer.hikari.util.FastList],add,newInstance java.lang.reflect.Array | arraycopy java.lang.System | ,,
Optional[com.zaxxer.hikari.util.FastList],get,,,
Optional[com.zaxxer.hikari.util.FastList],removeLast,,,
Optional[com.zaxxer.hikari.util.FastList],remove,arraycopy java.lang.System | ,,
Optional[com.zaxxer.hikari.util.FastList],clear,,,
Optional[com.zaxxer.hikari.util.FastList],size,,,
Optional[com.zaxxer.hikari.util.FastList],isEmpty,,,
Optional[com.zaxxer.hikari.util.FastList],set,,,
Optional[com.zaxxer.hikari.util.FastList],remove,arraycopy java.lang.System | ,,
Optional[com.zaxxer.hikari.util.FastList],contains,,,
Optional[com.zaxxer.hikari.util.FastList],iterator,,,
Optional[com.zaxxer.hikari.util.FastList],toArray,,,
Optional[com.zaxxer.hikari.util.FastList],toArray,,,
Optional[com.zaxxer.hikari.util.FastList],containsAll,,,
Optional[com.zaxxer.hikari.util.FastList],addAll,,,
Optional[com.zaxxer.hikari.util.FastList],addAll,,,
Optional[com.zaxxer.hikari.util.FastList],removeAll,,,
Optional[com.zaxxer.hikari.util.FastList],retainAll,,,
Optional[com.zaxxer.hikari.util.FastList],add,,,
Optional[com.zaxxer.hikari.util.FastList],indexOf,,,
Optional[com.zaxxer.hikari.util.FastList],lastIndexOf,,,
Optional[com.zaxxer.hikari.util.FastList],listIterator,,,
Optional[com.zaxxer.hikari.util.FastList],listIterator,,,
Optional[com.zaxxer.hikari.util.FastList],subList,,,
Optional[com.zaxxer.hikari.util.FastList],clone,,,
Optional[com.zaxxer.hikari.util.FastList],forEach,,,
Optional[com.zaxxer.hikari.util.FastList],spliterator,,,
Optional[com.zaxxer.hikari.util.FastList],removeIf,,,
Optional[com.zaxxer.hikari.util.FastList],replaceAll,,,
Optional[com.zaxxer.hikari.util.FastList],sort,,,
Optional[com.zaxxer.hikari.metrics.prometheus.HikariCPCollector],collect,asList java.util.Arrays | ,createGauge com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | createGauge com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | createGauge com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | createGauge com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | createGauge com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | createGauge com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | ,
Optional[com.zaxxer.hikari.metrics.prometheus.HikariCPCollector],add,put java.util.Map | ,,
Optional[com.zaxxer.hikari.metrics.prometheus.HikariCPCollector],remove,remove java.util.Map | ,,
Optional[com.zaxxer.hikari.metrics.prometheus.HikariCPCollector],createGauge,forEach java.util.Map | singletonList java.util.Collections | apply java.util.function.Function | ,,addMetric UnsupportedOperationException | 
Optional[com.zaxxer.hikari.util.DriverDataSource],getConnection,connect java.sql.Driver | ,,
Optional[com.zaxxer.hikari.util.DriverDataSource],getConnection,clone java.util.Properties | put java.util.Hashtable | containsKey java.util.Properties | put java.util.Hashtable | put java.util.Hashtable | connect java.sql.Driver | ,,
Optional[com.zaxxer.hikari.util.DriverDataSource],getLogWriter,,,
Optional[com.zaxxer.hikari.util.DriverDataSource],setLogWriter,,,
Optional[com.zaxxer.hikari.util.DriverDataSource],setLoginTimeout,setLoginTimeout java.sql.DriverManager | ,,
Optional[com.zaxxer.hikari.util.DriverDataSource],getLoginTimeout,getLoginTimeout java.sql.DriverManager | ,,
Optional[com.zaxxer.hikari.util.DriverDataSource],getParentLogger,getParentLogger java.sql.Driver | ,,
Optional[com.zaxxer.hikari.util.DriverDataSource],unwrap,,,
Optional[com.zaxxer.hikari.util.DriverDataSource],isWrapperFor,,,
Optional[com.zaxxer.hikari.metrics.IMetricsTracker],recordConnectionCreatedMillis,,,
Optional[com.zaxxer.hikari.metrics.IMetricsTracker],recordConnectionAcquiredNanos,,,
Optional[com.zaxxer.hikari.metrics.IMetricsTracker],recordConnectionUsageMillis,,,
Optional[com.zaxxer.hikari.metrics.IMetricsTracker],recordConnectionTimeout,,,
Optional[com.zaxxer.hikari.metrics.IMetricsTracker],close,,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],checkException,checkException com.zaxxer.hikari.pool.ProxyConnection | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],toString,toString java.lang.Object | getSimpleName java.lang.Class | getClass java.lang.Object | identityHashCode java.lang.System | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getConnection,,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getProcedures,getProcedures java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getProcedureColumns,getProcedureColumns java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getTables,getTables java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getSchemas,getSchemas java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getCatalogs,getCatalogs java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getTableTypes,getTableTypes java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getColumns,getColumns java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getColumnPrivileges,getColumnPrivileges java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getTablePrivileges,getTablePrivileges java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getBestRowIdentifier,getBestRowIdentifier java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getVersionColumns,getVersionColumns java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getPrimaryKeys,getPrimaryKeys java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getImportedKeys,getImportedKeys java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getExportedKeys,getExportedKeys java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getCrossReference,getCrossReference java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getTypeInfo,getTypeInfo java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getIndexInfo,getIndexInfo java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getUDTs,getUDTs java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getSuperTypes,getSuperTypes java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getSuperTables,getSuperTables java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getAttributes,getAttributes java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getSchemas,getSchemas java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getClientInfoProperties,getClientInfoProperties java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getFunctions,getFunctions java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getFunctionColumns,getFunctionColumns java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],getPseudoColumns,getPseudoColumns java.sql.DatabaseMetaData | getStatement java.sql.ResultSet | getProxyStatement com.zaxxer.hikari.pool.ProxyFactory | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],isWrapperFor,isInstance java.lang.Class | isWrapperFor java.sql.Wrapper | ,,
Optional[com.zaxxer.hikari.pool.ProxyDatabaseMetaData],unwrap,isInstance java.lang.Class | unwrap java.sql.Wrapper | ,,
Optional[com.zaxxer.hikari.pool.ProxyFactory],getProxyConnection,,,
Optional[com.zaxxer.hikari.pool.ProxyFactory],getProxyStatement,,,
Optional[com.zaxxer.hikari.pool.ProxyFactory],getProxyCallableStatement,,,
Optional[com.zaxxer.hikari.pool.ProxyFactory],getProxyPreparedStatement,,,
Optional[com.zaxxer.hikari.pool.ProxyFactory],getProxyResultSet,,,
Optional[com.zaxxer.hikari.pool.ProxyFactory],getProxyDatabaseMetaData,,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],close,remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | remove io.dropwizard.metrics5.MetricRegistry | name io.dropwizard.metrics5.MetricRegistry | ,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],recordConnectionAcquiredNanos,update io.dropwizard.metrics5.Timer | ,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],recordConnectionUsageMillis,update io.dropwizard.metrics5.Histogram | ,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],recordConnectionTimeout,mark io.dropwizard.metrics5.Meter | ,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],recordConnectionCreatedMillis,update io.dropwizard.metrics5.Histogram | ,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],getConnectionAcquisitionTimer,,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],getConnectionDurationHistogram,,,
Optional[com.zaxxer.hikari.metrics.dropwizard.Dropwizard5MetricsTracker],getConnectionCreationHistogram,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],getIdleConnections,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],getActiveConnections,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],getTotalConnections,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],getThreadsAwaitingConnection,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],softEvictConnections,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],suspendPool,,,
Optional[com.zaxxer.hikari.HikariPoolMXBean],resumePool,,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],currentTime0,currentTimeMillis java.lang.System | ,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],elapsedMillis0,currentTimeMillis java.lang.System | ,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],elapsedMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],elapsedNanos0,toNanos java.util.concurrent.TimeUnit | currentTimeMillis java.lang.System | ,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],elapsedNanos0,toNanos java.util.concurrent.TimeUnit | ,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],toMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],toNanos0,toNanos java.util.concurrent.TimeUnit | ,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],plusMillis0,,,
Optional[com.zaxxer.hikari.util.ClockSource.MillisecondClockSource],getSourceTimeUnit0,,,
Optional[com.zaxxer.hikari.pool.ProxyPreparedStatement],execute,markCommitStateDirty com.zaxxer.hikari.pool.ProxyConnection | execute java.sql.PreparedStatement | ,,
Optional[com.zaxxer.hikari.pool.ProxyPreparedStatement],executeQuery,markCommitStateDirty com.zaxxer.hikari.pool.ProxyConnection | executeQuery java.sql.PreparedStatement | getProxyResultSet com.zaxxer.hikari.pool.ProxyFactory | ,,
Optional[com.zaxxer.hikari.pool.ProxyPreparedStatement],executeUpdate,markCommitStateDirty com.zaxxer.hikari.pool.ProxyConnection | executeUpdate java.sql.PreparedStatement | ,,
Optional[com.zaxxer.hikari.pool.ProxyPreparedStatement],executeLargeUpdate,markCommitStateDirty com.zaxxer.hikari.pool.ProxyConnection | executeLargeUpdate java.sql.PreparedStatement | ,,
Optional[com.zaxxer.hikari.metrics.MetricsTrackerFactory],create,,,
Optional[com.zaxxer.hikari.pool.ProxyLeakTask],schedule,schedule java.util.concurrent.ScheduledExecutorService | ,,
Optional[com.zaxxer.hikari.pool.ProxyLeakTask],run,getStackTrace java.lang.Throwable | arraycopy java.lang.System | setStackTrace java.lang.Throwable | warn org.slf4j.Logger | ,,
Optional[com.zaxxer.hikari.pool.ProxyLeakTask],cancel,cancel java.util.concurrent.Future | info org.slf4j.Logger | ,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],toString,getSimpleName java.lang.Class | getClass java.lang.Object | identityHashCode java.lang.System | ,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getAutoCommitState,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getCatalogState,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getSchemaState,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getTransactionIsolationState,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getReadOnlyState,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getNetworkTimeoutState,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],getPoolEntry,,,
Optional[com.zaxxer.hikari.pool.ProxyConnection],checkException,getPoolBase com.zaxxer.hikari.pool.PoolEntry | getSQLState java.sql.SQLException | adjudicate com.zaxxer.hikari.SQLExceptionOverride | startsWith java.lang.String | contains java.util.Set | contains java.util.Set | getErrorCode java.sql.SQLException | getNextException java.sql.SQLException | warn org.slf4j.Logger | getPoolName com.zaxxer.hikari.pool.PoolEntry | getSQLState java.sql.SQLException | getErrorCode java.sql.SQLException | cancel com.zaxxer.hikari.pool.ProxyLeakTask | evict com.zaxxer.hikari.pool.PoolEntry | ,,
